,track_id,title,artist,artist_id,album,album_id,album_releasedate,popularity,time_added,full_time_added,year_added,month_added,dayofweek_added,hour_added,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres
10,1bwMNFWG2NXOsSz5AgndIy,Lemon Eyes,Meg Myers,0W8xe7IqAPlnBRMUpWOUuJ,Lemon Eyes,5J9fq6ORzeZa4eTwxI849M,2015-07-24,33,2015-11-11T23:17:13Z,2015-11-11 23:17:13,2015,11,2,23,0.776,0.566,0,-7.561,1,0.0739,0.366,0.0,0.451,0.652,139.937,audio_features,1bwMNFWG2NXOsSz5AgndIy,spotify:track:1bwMNFWG2NXOsSz5AgndIy,https://api.spotify.com/v1/tracks/1bwMNFWG2NXOsSz5AgndIy,https://api.spotify.com/v1/audio-analysis/1bwMNFWG2NXOsSz5AgndIy,219827,4,"['electropop', 'indietronica', 'modern rock', 'shimmer pop']"
11,5uZLsGY9fknBd5Rxr7AIss,Shut Up Kiss Me,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,MY WOMAN,5M8xQaQZuW2LZGVXZ3mlKN,2016-09-02,60,2020-06-02T15:18:46Z,2020-06-02 15:18:46,2020,6,1,15,0.373,0.63,7,-5.131,1,0.0461,0.0552,0.0,0.107,0.352,115.942,audio_features,5uZLsGY9fknBd5Rxr7AIss,spotify:track:5uZLsGY9fknBd5Rxr7AIss,https://api.spotify.com/v1/tracks/5uZLsGY9fknBd5Rxr7AIss,https://api.spotify.com/v1/audio-analysis/5uZLsGY9fknBd5Rxr7AIss,202200,4,"['alternative americana', 'art pop', 'chamber psych', 'freak folk', 'indie pop', 'indie rock']"
12,0HaDqyNg9LoZZ7Zli1uhzL,Unfucktheworld,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,Burn Your Fire For No Witness (Deluxe Edition),358elHWlgNqitp1lenb5Jn,2014-11-18,55,2020-05-29T01:47:04Z,2020-05-29 01:47:04,2020,5,4,1,0.545,0.128,0,-13.163,1,0.0393,0.943,0.0225,0.0987,0.327,119.044,audio_features,0HaDqyNg9LoZZ7Zli1uhzL,spotify:track:0HaDqyNg9LoZZ7Zli1uhzL,https://api.spotify.com/v1/tracks/0HaDqyNg9LoZZ7Zli1uhzL,https://api.spotify.com/v1/audio-analysis/0HaDqyNg9LoZZ7Zli1uhzL,125440,4,"['alternative americana', 'art pop', 'chamber psych', 'freak folk', 'indie pop', 'indie rock']"
13,5KcA4PNkLcxJS7mKaMW40k,Unfucktheworld,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,Burn Your Fire For No Witness,07GgXph1lUxsQuYHJUtn8e,2014-01-22,0,2019-12-13T15:08:52Z,2019-12-13 15:08:52,2019,12,4,15,0.504,0.131,9,-13.217,0,0.0391,0.943,0.025,0.0986,0.309,118.874,audio_features,5KcA4PNkLcxJS7mKaMW40k,spotify:track:5KcA4PNkLcxJS7mKaMW40k,https://api.spotify.com/v1/tracks/5KcA4PNkLcxJS7mKaMW40k,https://api.spotify.com/v1/audio-analysis/5KcA4PNkLcxJS7mKaMW40k,125440,4,"['alternative americana', 'art pop', 'chamber psych', 'freak folk', 'indie pop', 'indie rock']"
14,7m9yPkhvTfTlYEf0whUrNb,Cat Rider,Little Dragon,6Tyzp9KzpiZ04DABQoedps,Nabuma Rubberband,7cRFJj0IQqDZZ3Gm03aGbb,2014-01-01,36,2020-06-02T15:18:45Z,2020-06-02 15:18:45,2020,6,1,15,0.677,0.371,5,-10.482,1,0.0369,0.757,0.0202,0.108,0.319,109.972,audio_features,7m9yPkhvTfTlYEf0whUrNb,spotify:track:7m9yPkhvTfTlYEf0whUrNb,https://api.spotify.com/v1/tracks/7m9yPkhvTfTlYEf0whUrNb,https://api.spotify.com/v1/audio-analysis/7m9yPkhvTfTlYEf0whUrNb,273200,4,"['alternative dance', 'alternative r&b', 'art pop', 'chillwave', 'downtempo', 'electronica', 'electropop', 'escape room', 'gothenburg indie', 'indie soul', 'indietronica', 'new rave', 'swedish electropop', 'swedish synthpop', 'trip hop']"
15,6d15UEB74JSsEL9frcH3UU,Paris,Little Dragon,6Tyzp9KzpiZ04DABQoedps,Nabuma Rubberband,7cRFJj0IQqDZZ3Gm03aGbb,2014-01-01,34,2020-05-15T03:22:19Z,2020-05-15 03:22:19,2020,5,4,3,0.731,0.712,7,-6.938,0,0.0634,0.0841,0.0353,0.0913,0.847,76.503,audio_features,6d15UEB74JSsEL9frcH3UU,spotify:track:6d15UEB74JSsEL9frcH3UU,https://api.spotify.com/v1/tracks/6d15UEB74JSsEL9frcH3UU,https://api.spotify.com/v1/audio-analysis/6d15UEB74JSsEL9frcH3UU,204040,4,"['alternative dance', 'alternative r&b', 'art pop', 'chillwave', 'downtempo', 'electronica', 'electropop', 'escape room', 'gothenburg indie', 'indie soul', 'indietronica', 'new rave', 'swedish electropop', 'swedish synthpop', 'trip hop']"
16,6WDAtzaXY7d31CkuoxYFcb,Feather,Little Dragon,6Tyzp9KzpiZ04DABQoedps,Machine Dreams,1223HNo18fRbvEKxMgiSa7,2009-08-17,56,2019-12-17T22:33:17Z,2019-12-17 22:33:17,2019,12,1,22,0.663,0.831,2,-6.542,1,0.0326,0.00687,0.733,0.0271,0.743,96.666,audio_features,6WDAtzaXY7d31CkuoxYFcb,spotify:track:6WDAtzaXY7d31CkuoxYFcb,https://api.spotify.com/v1/tracks/6WDAtzaXY7d31CkuoxYFcb,https://api.spotify.com/v1/audio-analysis/6WDAtzaXY7d31CkuoxYFcb,293787,4,"['alternative dance', 'alternative r&b', 'art pop', 'chillwave', 'downtempo', 'electronica', 'electropop', 'escape room', 'gothenburg indie', 'indie soul', 'indietronica', 'new rave', 'swedish electropop', 'swedish synthpop', 'trip hop']"
17,5uTjNzGKCQ50synrf9dWmT,Ritual Union,Little Dragon,6Tyzp9KzpiZ04DABQoedps,Ritual Union,1BQVdofe7ROnSoaiC9418p,2011-07-25,56,2018-06-18T02:16:20Z,2018-06-18 02:16:20,2018,6,0,2,0.7,0.738,1,-4.398,1,0.0324,0.0381,0.00527,0.22,0.796,144.035,audio_features,5uTjNzGKCQ50synrf9dWmT,spotify:track:5uTjNzGKCQ50synrf9dWmT,https://api.spotify.com/v1/tracks/5uTjNzGKCQ50synrf9dWmT,https://api.spotify.com/v1/audio-analysis/5uTjNzGKCQ50synrf9dWmT,210267,4,"['alternative dance', 'alternative r&b', 'art pop', 'chillwave', 'downtempo', 'electronica', 'electropop', 'escape room', 'gothenburg indie', 'indie soul', 'indietronica', 'new rave', 'swedish electropop', 'swedish synthpop', 'trip hop']"
18,1wXWuZgVO52kWbiQNTaBb1,Chasing Shadows,Santigold,6Jrxnp0JgqmeUX1veU591p,99 Cents,0DOzmXcSztIomiurOwMivk,2016-02-26,47,2020-06-02T14:50:05Z,2020-06-02 14:50:05,2020,6,1,14,0.742,0.575,0,-5.55,1,0.0487,0.227,1.77e-06,0.176,0.583,76.494,audio_features,1wXWuZgVO52kWbiQNTaBb1,spotify:track:1wXWuZgVO52kWbiQNTaBb1,https://api.spotify.com/v1/tracks/1wXWuZgVO52kWbiQNTaBb1,https://api.spotify.com/v1/audio-analysis/1wXWuZgVO52kWbiQNTaBb1,195333,4,"['alternative dance', 'electropop', 'escape room', 'indie pop', 'indietronica', 'new rave']"
19,5OaJyV94WfDDpoxwEzybOv,I'm A Lady (feat. Trouble Andrew),Santigold,6Jrxnp0JgqmeUX1veU591p,Santigold,4yATru0hY3VgRHSreswbGj,2008-04-29,38,2020-01-22T20:19:38Z,2020-01-22 20:19:38,2020,1,2,20,0.655,0.715,4,-5.85,1,0.0281,0.13,0.0848,0.0817,0.489,91.995,audio_features,5OaJyV94WfDDpoxwEzybOv,spotify:track:5OaJyV94WfDDpoxwEzybOv,https://api.spotify.com/v1/tracks/5OaJyV94WfDDpoxwEzybOv,https://api.spotify.com/v1/audio-analysis/5OaJyV94WfDDpoxwEzybOv,223787,4,"['alternative dance', 'electropop', 'escape room', 'indie pop', 'indietronica', 'new rave']"
