,track_id,title,artist,artist_id,album,album_id,album_releasedate,popularity,time_added,full_time_added,year_added,month_added,dayofweek_added,hour_added
21,04d6gfSFAn5S4QQImUW7WA,Hurricane Drunk,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs,2KAK58PimXHF4lSoKO3RxA,2009-01-01,26,2020-05-30T18:52:49Z,2020-05-30 18:52:49,2020,5,5,18
22,0DyToChmZxd4js5BY9Jf2G,You've Got The Love,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs,2KAK58PimXHF4lSoKO3RxA,2009-01-01,27,2020-05-30T18:52:47Z,2020-05-30 18:52:47,2020,5,5,18
23,7u5oRKGjNovOvg8s1q4OTU,I'm Not Calling You A Liar,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs,2KAK58PimXHF4lSoKO3RxA,2009-01-01,27,2020-05-30T18:52:44Z,2020-05-30 18:52:44,2020,5,5,18
24,3OGUg0CBNaw87qfuzyiORP,Howl,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs,2KAK58PimXHF4lSoKO3RxA,2009-01-01,29,2020-05-30T18:44:33Z,2020-05-30 18:44:33,2020,5,5,18
25,379cCz9KkUvE1iR0OEBDEN,Drumming Song,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs,2KAK58PimXHF4lSoKO3RxA,2009-01-01,27,2020-05-30T18:44:32Z,2020-05-30 18:44:32,2020,5,5,18
26,0ZMK3QwoE3PiLO4evS4JGv,Kiss With A Fist,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs,2KAK58PimXHF4lSoKO3RxA,2009-01-01,29,2020-05-30T18:44:31Z,2020-05-30 18:44:31,2020,5,5,18
27,12RzIunE2zuqOWMk6AslEU,Girl With One Eye,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs,2KAK58PimXHF4lSoKO3RxA,2009-01-01,26,2020-05-30T18:44:30Z,2020-05-30 18:44:30,2020,5,5,18
28,0zKgonhZ2kYVEYwyedfiw3,Cosmic Love,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs,2KAK58PimXHF4lSoKO3RxA,2009-01-01,33,2020-05-30T18:44:29Z,2020-05-30 18:44:29,2020,5,5,18
29,68HbVtMFtAhfXw3Y27WOZu,My Boy Builds Coffins,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Lungs,2KAK58PimXHF4lSoKO3RxA,2009-01-01,26,2020-05-30T18:44:27Z,2020-05-30 18:44:27,2020,5,5,18
30,2wZBb1r0BYixj88W9VsrTl,Motel,Meg Myers,0W8xe7IqAPlnBRMUpWOUuJ,Sorry,14Q6NvjUSthc0Xgb5EgtQd,2015-09-18,40,2020-05-29T02:07:48Z,2020-05-29 02:07:48,2020,5,4,2
