,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,0.271,0.31,0,-7.967,1,0.0309,0.725,1.99e-06,0.119,0.16,169.614,audio_features,4PxzGOH79jcmmldKgoI9sB,spotify:track:4PxzGOH79jcmmldKgoI9sB,https://api.spotify.com/v1/tracks/4PxzGOH79jcmmldKgoI9sB,https://api.spotify.com/v1/audio-analysis/4PxzGOH79jcmmldKgoI9sB,214733,3
11,0.592,0.629,7,-7.057,1,0.0259,0.324,0.00697,0.196,0.662,106.888,audio_features,0GxSwEarZc2qZvYkkKkgJa,spotify:track:0GxSwEarZc2qZvYkkKkgJa,https://api.spotify.com/v1/tracks/0GxSwEarZc2qZvYkkKkgJa,https://api.spotify.com/v1/audio-analysis/0GxSwEarZc2qZvYkkKkgJa,171133,4
12,0.562,0.944,7,-3.763,1,0.093,0.00528,0.0276,0.726,0.501,136.957,audio_features,0VILlLqAG7LibO0Ov5Lp2E,spotify:track:0VILlLqAG7LibO0Ov5Lp2E,https://api.spotify.com/v1/tracks/0VILlLqAG7LibO0Ov5Lp2E,https://api.spotify.com/v1/audio-analysis/0VILlLqAG7LibO0Ov5Lp2E,195439,4
13,0.529,0.345,1,-10.636,1,0.0352,0.872,3.37e-05,0.139,0.382,99.317,audio_features,6pmrDIZKljbgNMNsavmWmA,spotify:track:6pmrDIZKljbgNMNsavmWmA,https://api.spotify.com/v1/tracks/6pmrDIZKljbgNMNsavmWmA,https://api.spotify.com/v1/audio-analysis/6pmrDIZKljbgNMNsavmWmA,241520,4
14,0.504,0.359,0,-7.376,1,0.0797,0.804,0.0,0.142,0.4,155.704,audio_features,3l4IROV459bed4oIFhEsxt,spotify:track:3l4IROV459bed4oIFhEsxt,https://api.spotify.com/v1/tracks/3l4IROV459bed4oIFhEsxt,https://api.spotify.com/v1/audio-analysis/3l4IROV459bed4oIFhEsxt,193545,3
15,0.483,0.329,9,-7.407,0,0.0503,0.956,0.0,0.0911,0.312,128.459,audio_features,73U20lYCzqwGLLk4V7u3ul,spotify:track:73U20lYCzqwGLLk4V7u3ul,https://api.spotify.com/v1/tracks/73U20lYCzqwGLLk4V7u3ul,https://api.spotify.com/v1/audio-analysis/73U20lYCzqwGLLk4V7u3ul,264973,4
16,0.726,0.775,1,-5.471,1,0.0583,0.571,0.000169,0.0773,0.53,103.99,audio_features,3XehcQWDqKBjgdx4w0JK3z,spotify:track:3XehcQWDqKBjgdx4w0JK3z,https://api.spotify.com/v1/tracks/3XehcQWDqKBjgdx4w0JK3z,https://api.spotify.com/v1/audio-analysis/3XehcQWDqKBjgdx4w0JK3z,231520,4
17,0.442,0.588,2,-6.638,0,0.126,0.638,0.0,0.296,0.471,119.933,audio_features,0xIi7KsnuvYbgOpsyUiW9B,spotify:track:0xIi7KsnuvYbgOpsyUiW9B,https://api.spotify.com/v1/tracks/0xIi7KsnuvYbgOpsyUiW9B,https://api.spotify.com/v1/audio-analysis/0xIi7KsnuvYbgOpsyUiW9B,257947,4
18,0.546,0.718,4,-5.243,1,0.119,0.258,1.52e-05,0.0645,0.677,87.923,audio_features,23DsBjhH8cvuOYFbYUdoLV,spotify:track:23DsBjhH8cvuOYFbYUdoLV,https://api.spotify.com/v1/tracks/23DsBjhH8cvuOYFbYUdoLV,https://api.spotify.com/v1/audio-analysis/23DsBjhH8cvuOYFbYUdoLV,201653,3
19,0.561,0.433,4,-6.647,0,0.057,0.586,0.0,0.0808,0.305,75.99,audio_features,3lI8xmGNgcwsSYEXjKdbdp,spotify:track:3lI8xmGNgcwsSYEXjKdbdp,https://api.spotify.com/v1/tracks/3lI8xmGNgcwsSYEXjKdbdp,https://api.spotify.com/v1/audio-analysis/3lI8xmGNgcwsSYEXjKdbdp,224560,4
20,0.612,0.821,1,-5.63,0,0.118,0.0295,0.00114,0.208,0.585,155.893,audio_features,4WehxcnPTxouLdfQhqANb3,spotify:track:4WehxcnPTxouLdfQhqANb3,https://api.spotify.com/v1/tracks/4WehxcnPTxouLdfQhqANb3,https://api.spotify.com/v1/audio-analysis/4WehxcnPTxouLdfQhqANb3,327520,4
21,0.427,0.865,4,-4.691,1,0.206,0.163,2.16e-05,0.316,0.208,184.31,audio_features,04d6gfSFAn5S4QQImUW7WA,spotify:track:04d6gfSFAn5S4QQImUW7WA,https://api.spotify.com/v1/tracks/04d6gfSFAn5S4QQImUW7WA,https://api.spotify.com/v1/audio-analysis/04d6gfSFAn5S4QQImUW7WA,193347,4
22,0.577,0.72,6,-4.737,1,0.0324,0.00475,0.0,0.123,0.392,109.938,audio_features,0DyToChmZxd4js5BY9Jf2G,spotify:track:0DyToChmZxd4js5BY9Jf2G,https://api.spotify.com/v1/tracks/0DyToChmZxd4js5BY9Jf2G,https://api.spotify.com/v1/audio-analysis/0DyToChmZxd4js5BY9Jf2G,168667,4
23,0.44,0.506,7,-5.446,1,0.0667,0.369,0.0,0.282,0.351,117.988,audio_features,7u5oRKGjNovOvg8s1q4OTU,spotify:track:7u5oRKGjNovOvg8s1q4OTU,https://api.spotify.com/v1/tracks/7u5oRKGjNovOvg8s1q4OTU,https://api.spotify.com/v1/audio-analysis/7u5oRKGjNovOvg8s1q4OTU,185333,4
24,0.577,0.866,0,-4.05,1,0.0601,0.006,0.000704,0.164,0.28,130.016,audio_features,3OGUg0CBNaw87qfuzyiORP,spotify:track:3OGUg0CBNaw87qfuzyiORP,https://api.spotify.com/v1/tracks/3OGUg0CBNaw87qfuzyiORP,https://api.spotify.com/v1/audio-analysis/3OGUg0CBNaw87qfuzyiORP,214053,4
25,0.449,0.809,4,-4.834,0,0.0457,0.00117,0.00055,0.0968,0.469,200.046,audio_features,379cCz9KkUvE1iR0OEBDEN,spotify:track:379cCz9KkUvE1iR0OEBDEN,https://api.spotify.com/v1/tracks/379cCz9KkUvE1iR0OEBDEN,https://api.spotify.com/v1/audio-analysis/379cCz9KkUvE1iR0OEBDEN,223827,4
26,0.367,0.802,2,-5.325,1,0.114,0.00254,0.00018,0.0654,0.631,107.13,audio_features,0ZMK3QwoE3PiLO4evS4JGv,spotify:track:0ZMK3QwoE3PiLO4evS4JGv,https://api.spotify.com/v1/tracks/0ZMK3QwoE3PiLO4evS4JGv,https://api.spotify.com/v1/audio-analysis/0ZMK3QwoE3PiLO4evS4JGv,124240,4
27,0.428,0.527,9,-6.361,0,0.102,0.442,0.0,0.141,0.21,132.819,audio_features,12RzIunE2zuqOWMk6AslEU,spotify:track:12RzIunE2zuqOWMk6AslEU,https://api.spotify.com/v1/tracks/12RzIunE2zuqOWMk6AslEU,https://api.spotify.com/v1/audio-analysis/12RzIunE2zuqOWMk6AslEU,218613,3
28,0.526,0.809,9,-5.442,0,0.038,0.148,0.000328,0.119,0.0767,140.008,audio_features,0zKgonhZ2kYVEYwyedfiw3,spotify:track:0zKgonhZ2kYVEYwyedfiw3,https://api.spotify.com/v1/tracks/0zKgonhZ2kYVEYwyedfiw3,https://api.spotify.com/v1/audio-analysis/0zKgonhZ2kYVEYwyedfiw3,255907,4
